AUB,11/30/2019,54.65,54.65,53.8,53.8,5800,309350
BDO,11/30/2019,154.2,157,154,154,1443620,-66633974
BPI,11/30/2019,89,89,87.1,88,4336060,-72822799
CHIB,11/30/2019,25.15,25.3,25,25.2,36600,0
CSB,11/30/2019,0,0,0,0,0,0
EIBA,11/30/2019,0,0,0,0,0,0
EIBB,11/30/2019,0,0,0,0,0,0
EW,11/30/2019,12.82,12.96,12.82,12.88,43100,-147374
MBT,11/30/2019,68.4,68.4,67.75,68.2,1664890,45765101
NXGEN,11/30/2019,0,0,0,0,0,0
PBB,11/30/2019,12.7,12.7,12.7,12.7,3500,0
PBC,11/30/2019,0,0,0,0,0,0
PNB,11/30/2019,39.15,39.7,38.1,38.2,3172600,-11370120
PSB,11/30/2019,58.7,58.7,57.8,57.8,570,-4056.5
PTC,11/30/2019,0,0,0,0,0,0
RCB,11/30/2019,24.85,24.95,24.85,24.85,18900,0
SECB,11/30/2019,201.6,204,199,204,453430,-3048182
UBP,11/30/2019,59,59.4,59,59,15710,-853742
BKR,11/30/2019,0,0,0,0,0,0
BLFI,11/30/2019,1.88,1.88,1.88,1.88,8000,0
COL,11/30/2019,18,18.54,18,18.54,2400,0
FAF,11/30/2019,0,0,0,0,0,0
FERRO,11/30/2019,0,0,0,0,0,0
FFI,11/30/2019,0,0,0,0,0,0
I,11/30/2019,0,0,0,0,0,0
MED,11/30/2019,0.4,0.4,0.4,0.4,270000,0
MFC,11/30/2019,0,0,0,0,0,0
NRCP,11/30/2019,0.85,0.85,0.85,0.85,11000,0
PSE,11/30/2019,175.8,175.8,173.1,173.1,290,-19080
SLF,11/30/2019,1807,1807,1800,1800,115,0
V,11/30/2019,0,0,0,0,0,0
ACEPH,11/30/2019,2.57,2.59,2.51,2.51,1418000,-615699.9998
ACR,11/30/2019,0,0,0,0,0,0
AP,11/30/2019,34.65,34.9,34.05,34.45,1820600,-18544990
BSC,11/30/2019,0.239,0.239,0.226,0.237,1220000,0
FGEN,11/30/2019,23.9,23.95,23.5,23.95,1466300,1172420
FPH,11/30/2019,75,75.75,75,75.75,375030,-27245780.5
MER,11/30/2019,322.6,322.6,315,315,185420,-21546482
MWC,11/30/2019,18.42,18.84,18.42,18.5,299300,-685952
PCOR,11/30/2019,4.68,4.69,4.46,4.46,2274000,-3977680
PERC,11/30/2019,4.07,4.1,4.03,4.1,11000,0
PNX,11/30/2019,11.06,11.06,10.88,11.06,3200,0
SHLPH,11/30/2019,32.75,33.2,32.5,32.75,122500,998970
SPC,11/30/2019,8.89,9.3,8.85,8.9,1174900,1028012
VVT,11/30/2019,0,0,0,0,0,0
ANI,11/30/2019,13.9,13.96,13.3,13.94,139700,155084
AXLM,11/30/2019,3.68,3.68,3.58,3.58,1109000,-350800
BMM,11/30/2019,0,0,0,0,0,0
CAT,11/30/2019,17.78,18.68,17.76,18.68,1100,0
CNPF,11/30/2019,15.38,15.38,15.1,15.22,39500,393856
DELM,11/30/2019,5.05,5.45,5.05,5.3,1600,0
DNL,11/30/2019,8.7,8.78,8.65,8.7,465800,-3029141
EMP,11/30/2019,7.23,7.23,7.21,7.21,8000600,-50413255
FB,11/30/2019,89.8,89.9,88.1,89.9,105460,747758
FOOD,11/30/2019,0.62,0.63,0.6,0.6,143000,0
GSMI,11/30/2019,41,41,40.5,41,4700,-134300
JFC,11/30/2019,198,198.6,194.5,195,674160,-18832734
LFM,11/30/2019,46.05,46.05,46.05,46.05,600,0
MACAY,11/30/2019,8.02,8.7,7.96,7.98,65900,95800
MAXS,11/30/2019,12.1,12.7,12.1,12.6,62700,0
MG,11/30/2019,0,0,0,0,0,0
PIP,11/30/2019,1.39,1.42,1.34,1.38,2960000,1903250.0003
PIZZA,11/30/2019,11,11.1,10.8,10.82,212300,-761762
RCI,11/30/2019,2.05,2.05,1.95,2.02,1546000,36179.9998
RFM,11/30/2019,5.47,5.47,5.46,5.46,3700,0
ROX,11/30/2019,0,0,0,0,0,0
