PMPC,11/26/2019,5.22,5.22,5.22,5.22,400,0
SSP,11/26/2019,1.03,1.03,0.96,0.96,74000,0
TECH,11/26/2019,5.23,5.6,5.21,5.4,954300,579360
FYN,11/26/2019,0,0,0,0,0,0
FYNB,11/26/2019,0,0,0,0,0,0
PCP,11/26/2019,0,0,0,0,0,0
STN,11/26/2019,0,0,0,0,0,0
AAA,11/26/2019,0,0,0,0,0,0
ABA,11/26/2019,0.79,0.81,0.78,0.8,15397000,-420540
ABG,11/26/2019,12.48,12.5,12.24,12.5,7400,0
AC,11/26/2019,820,824,784.5,784.5,1408530,-362484720
AEV,11/26/2019,50.4,51.2,48.95,48.95,26159200,-481920085
AGI,11/26/2019,11.14,11.28,10.78,10.78,305565500,-505576588
ALLHC,11/26/2019,3.4,3.46,3.38,3.42,632000,-357850
ANS,11/26/2019,6.83,6.9,6.82,6.89,74500,0
APO,11/26/2019,0.72,0.72,0.72,0.72,25000,0
ATN,11/26/2019,0.95,0.95,0.88,0.91,3673000,0
ATNB,11/26/2019,0.97,0.97,0.9,0.94,1851000,468900
BH,11/26/2019,0,0,0,0,0,0
COSCO,11/26/2019,7.05,7.11,7.05,7.08,3329000,1879293
DMC,11/26/2019,6.56,6.85,6.45,6.56,348635800,-819005470
FDC,11/26/2019,13.1,13.38,13,13.38,12200,32186
FJP,11/26/2019,0,0,0,0,0,0
FJPB,11/26/2019,0,0,0,0,0,0
FPI,11/26/2019,0.206,0.206,0.205,0.205,400000,0
GTCAP,11/26/2019,882,882,872,878,285090,-69671005
HI,11/26/2019,0,0,0,0,0,0
JGS,11/26/2019,78.45,78.45,76.2,76.3,8729780,-137784429
JOH,11/26/2019,0,0,0,0,0,0
KPH,11/26/2019,0,0,0,0,0,0
KPHB,11/26/2019,0,0,0,0,0,0
LIHC,11/26/2019,0.48,0.495,0.48,0.485,270000,0
LPZ,11/26/2019,4.02,4.05,4.02,4.03,118000,0
LTG,11/26/2019,12.5,12.58,12.2,12.2,1340600,2631390
MGH,11/26/2019,0,0,0,0,0,0
MHC,11/26/2019,0.57,0.57,0.57,0.57,1000,0
MJIC,11/26/2019,0,0,0,0,0,0
MPI,11/26/2019,4.34,4.38,4.3,4.31,55884000,-32241590
PA,11/26/2019,0.036,0.036,0.036,0.036,800000,0
PRIM,11/26/2019,0,0,0,0,0,0
REG,11/26/2019,0,0,0,0,0,0
SGI,11/26/2019,1.25,1.25,1.23,1.25,130000,0
SGP,11/26/2019,0,0,0,0,0,0
SM,11/26/2019,1070,1091,1069,1091,962620,-106966375
SMC,11/26/2019,156.9,159,155.1,159,88420,-8715214
SOC,11/26/2019,0.85,0.85,0.85,0.85,1000,0
SPM,11/26/2019,2.25,2.25,2.25,2.25,5000,0
TFHI,11/26/2019,213.2,213.2,213.2,213.2,10,0
UNI,11/26/2019,0,0,0,0,0,0
WIN,11/26/2019,0.214,0.214,0.214,0.214,200000,-42800
ZHI,11/26/2019,0.218,0.218,0.216,0.217,90000,0
ALCO,11/26/2019,0.86,0.86,0.83,0.86,765000,134400
ALHI,11/26/2019,9,9,8.83,8.83,2200,0
ALI,11/26/2019,43.95,44.2,42.55,42.55,37427400,-499687070
ARA,11/26/2019,1.62,1.62,1.6,1.6,6000,0
BEL,11/26/2019,2,2.01,2,2,424000,-742000
BRN,11/26/2019,0.75,0.75,0.73,0.74,84000,0
CDC,11/26/2019,0,0,0,0,0,0
CEI,11/26/2019,0.188,0.198,0.188,0.198,240000,0
CHI,11/26/2019,6.7,6.7,6.6,6.67,21200,0
CLI,11/26/2019,4.7,4.7,4.66,4.7,259000,18790
CPG,11/26/2019,0.59,0.59,0.58,0.58,34485000,-87000.0001
CPV,11/26/2019,0,0,0,0,0,0
CPVB,11/26/2019,0,0,0,0,0,0
CYBR,11/26/2019,0.425,0.425,0.42,0.42,270000,0
DD,11/26/2019,18.9,19.8,18.9,19.8,479000,7076740
DMW,11/26/2019,10.3,10.32,10.26,10.3,236900,2391750
ELI,11/26/2019,0.45,0.45,0.445,0.445,8530000,-3285000
EVER,11/26/2019,0,0,0,0,0,0
FLI,11/26/2019,1.53,1.55,1.52,1.54,12748000,-895940
GERI,11/26/2019,1.23,1.24,1.23,1.23,358000,-19780
HOUSE,11/26/2019,14.9,14.98,14.9,14.96,6200,-67272
IRC,11/26/2019,1.28,1.32,1.28,1.3,1326000,1300
KEP,11/26/2019,4.35,4.35,4.35,4.35,3000,0
LAND,11/26/2019,0,0,0,0,0,0
MEG,11/26/2019,4.5,4.54,4.42,4.45,37766000,-40955980
MRC,11/26/2019,0.226,0.231,0.223,0.23,8090000,0
PHES,11/26/2019,0,0,0,0,0,0
PMT,11/26/2019,0,0,0,0,0,0
