AUB,11/29/2019,53.7,53.7,53.7,53.7,60,
BDO,11/29/2019,154.8,154.8,151.1,151.8,1081930,
BPI,11/29/2019,88.2,88.4,85.6,85.95,2641780,
CHIB,11/29/2019,25.3,25.3,25,25.1,32900,
EW,11/29/2019,12.88,12.92,12.7,12.82,553600,
MBT,11/29/2019,67.9,67.9,66.25,66.25,2132190,
PBB,11/29/2019,12.7,12.7,12.7,12.7,9100,
PBC,11/29/2019,20.5,22.15,20.5,22.15,1300,
PNB,11/29/2019,38.3,38.35,37.5,37.5,501100,
PSB,11/29/2019,57.6,57.6,57.6,57.6,500,
RCB,11/29/2019,25,25.05,24.75,24.75,59600,
SECB,11/29/2019,204,205,199.4,205,547740,
UBP,11/29/2019,59.55,59.55,59,59.55,1480,
BLFI,11/29/2019,1.85,1.85,1.85,1.85,1000,
COL,11/29/2019,18.2,18.2,18.2,18.2,10000,
FERRO,11/29/2019,4.14,4.3,4.1,4.25,206000,
MED,11/29/2019,0.38,0.38,0.38,0.38,50000,
NRCP,11/29/2019,0.85,0.85,0.85,0.85,5000,
PSE,11/29/2019,173,176.2,173,176.2,1550,
SLF,11/29/2019,1879,1879,1805,1805,255,
V,11/29/2019,1.06,1.06,1.06,1.06,744000,
ACEPH,11/29/2019,2.51,2.51,2.45,2.46,3497000,
ACR,11/29/2019,1.23,1.25,1.23,1.25,65000,
AP,11/29/2019,34.05,34.55,34,34.45,1197100,
BSC,11/29/2019,0.239,0.239,0.225,0.238,210000,
FGEN,11/29/2019,23.95,25,23.5,25,2292000,
FPH,11/29/2019,75.75,75.75,75.05,75.05,192480,
MER,11/29/2019,315,319.8,315,319,67140,
MWC,11/29/2019,18.7,19.38,18.5,18.7,1480400,
PCOR,11/29/2019,4.57,4.6,4.5,4.54,473000,
PNX,11/29/2019,11.08,11.08,11.08,11.08,10000,
SHLPH,11/29/2019,33.15,33.2,32.8,33.1,806700,
SPC,11/29/2019,8.88,9,8.65,8.67,561500,
ANI,11/29/2019,13.94,13.96,12.84,13.96,848900,
AXLM,11/29/2019,3.58,3.58,3.3,3.35,8702000,
CNPF,11/29/2019,15.2,15.22,15,15.22,175500,
DELM,11/29/2019,5.3,5.45,5.25,5.25,8200,
DNL,11/29/2019,8.8,8.8,8.73,8.77,333400,
EMP,11/29/2019,7.23,7.23,7.18,7.2,301600,
FB,11/29/2019,89,90,88.5,90,26780,
FOOD,11/29/2019,0.59,0.6,0.57,0.57,624000,
FRUIT,11/29/2019,1.82,2.45,1.71,1.71,675655000,
GSMI,11/29/2019,41,41,40,40.5,10800,
JFC,11/29/2019,195,196,192,192,779240,
MACAY,11/29/2019,7.97,8.2,7.75,8.2,15200,
MAXS,11/29/2019,12.5,12.7,12.12,12.5,125900,
PIP,11/29/2019,1.37,1.39,1.32,1.32,2741000,
PIZZA,11/29/2019,10.9,10.9,10.64,10.78,2083900,
RCI,11/29/2019,1.99,2,1.92,1.95,2368000,
RFM,11/29/2019,5.47,5.47,5.45,5.46,5400,
SFI,11/29/2019,0.121,0.121,0.115,0.115,7950000,
URC,11/29/2019,150,151.6,150,150.1,798680,
VITA,11/29/2019,1.13,1.14,1.1,1.11,4134000,
CA,11/29/2019,70,70,64.65,70,1110,
CAB,11/29/2019,67.85,67.85,67.7,67.7,700,
CHP,11/29/2019,2.31,2.34,2.25,2.28,1220000,
DAVIN,11/29/2019,5.34,5.34,5.33,5.33,12000,
EAGLE,11/29/2019,15.18,15.18,14.88,14.98,227000,
EEI,11/29/2019,10.4,10.4,10.3,10.3,464200,
HLCM,11/29/2019,13.72,13.96,13.64,13.96,148700,
MWIDE,11/29/2019,17.26,17.26,16.9,17.08,1029900,
PHN,11/29/2019,9.9,10,9.9,10,42000,
T,11/29/2019,1.02,1.04,1,1.04,542000,
VUL,11/29/2019,0.98,0.98,0.93,0.94,1586000,
CROWN,11/29/2019,2.02,2.08,1.99,2.06,842000,
LMG,11/29/2019,4.78,4.78,4.65,4.75,95000,
MVC,11/29/2019,3.59,3.59,3.56,3.56,5000,
PPC,11/29/2019,4.97,4.98,4.96,4.96,53000,
GREEN,11/29/2019,1.99,1.99,1.87,1.87,7490000,
IMI,11/29/2019,7.8,7.99,7.8,7.86,29200,
ION,11/29/2019,1.34,1.34,1.32,1.32,183000,
PMPC,11/29/2019,5.65,5.65,5.25,5.25,1100,
SSP,11/29/2019,1.01,1.01,0.94,0.99,134000,
TECH,11/29/2019,5.3,5.3,5.03,5.08,527000,
